algorithm,n,time
cubic,30,0.06389093399047852
cubic,30,0.06345796585083008
cubic,30,0.06355619430541992
cubic,30,0.06293916702270508
cubic,30,0.06102180480957031
cubic,42,0.058184146881103516
cubic,42,0.061679840087890625
cubic,42,0.05911874771118164
cubic,42,0.06031322479248047
cubic,42,0.0612180233001709
cubic,59,0.06288623809814453
cubic,59,0.06338620185852051
cubic,59,0.0651087760925293
cubic,59,0.06493592262268066
cubic,59,0.06438612937927246
cubic,84,0.06466364860534668
cubic,84,0.06557488441467285
cubic,84,0.06470489501953125
cubic,84,0.06445503234863281
cubic,84,0.06374979019165039
cubic,118,0.07456111907958984
cubic,118,0.07718300819396973
cubic,118,0.07672929763793945
cubic,118,0.06080317497253418
cubic,118,0.07466411590576172
cubic,167,0.06279110908508301
cubic,167,0.06261587142944336
cubic,167,0.0741119384765625
cubic,167,0.06222105026245117
cubic,167,0.06404304504394531
cubic,235,0.06496381759643555
cubic,235,0.06416106224060059
cubic,235,0.06868886947631836
cubic,235,0.06914401054382324
cubic,235,0.06637310981750488
cubic,332,0.0675656795501709
cubic,332,0.06583189964294434
cubic,332,0.06725192070007324
cubic,332,0.06487798690795898
cubic,332,0.06493496894836426
cubic,468,0.0689082145690918
cubic,468,0.06797504425048828
cubic,468,0.07987499237060547
cubic,468,0.0684051513671875
cubic,468,0.0685279369354248
cubic,660,0.07935404777526855
cubic,660,0.07961487770080566
cubic,660,0.07991886138916016
cubic,660,0.0790548324584961
cubic,660,0.07921695709228516
cubic,931,0.10808801651000977
cubic,931,0.10758495330810547
cubic,931,0.1068410873413086
cubic,931,0.10879111289978027
cubic,931,0.10635805130004883
cubic,1313,0.1693580150604248
cubic,1313,0.16856789588928223
cubic,1313,0.16706418991088867
cubic,1313,0.16802096366882324
cubic,1313,0.16892504692077637
cubic,1852,0.343858003616333
cubic,1852,0.3465731143951416
cubic,1852,0.3463900089263916
cubic,1852,0.34540414810180664
cubic,1852,0.3520522117614746
cubic,2611,0.8202419281005859
cubic,2611,0.8203201293945312
cubic,2611,0.8252449035644531
cubic,2611,0.8259110450744629
cubic,2611,0.829719066619873
cubic,3682,2.131063938140869
cubic,3682,2.123095989227295
cubic,3682,2.1120078563690186
cubic,3682,2.1024999618530273
cubic,3682,2.1088008880615234
cubic,5192,5.7287068367004395
cubic,5192,5.711639881134033
cubic,5192,5.6885058879852295
cubic,5192,5.68389105796814
cubic,5192,5.685153961181641
cubic,7321,15.68984603881836
cubic,7321,15.694363832473755
cubic,7321,15.757060050964355
cubic,7321,15.770032167434692
cubic,7321,15.747849941253662
quadratic,30,0.07246184349060059
quadratic,30,0.05784010887145996
quadratic,30,0.05760526657104492
quadratic,30,0.05782508850097656
quadratic,30,0.05785799026489258
quadratic,42,0.057968854904174805
quadratic,42,0.058541059494018555
quadratic,42,0.057231903076171875
quadratic,42,0.05791473388671875
quadratic,42,0.0591890811920166
quadratic,59,0.05892300605773926
quadratic,59,0.05887603759765625
quadratic,59,0.05839204788208008
quadratic,59,0.05769801139831543
quadratic,59,0.05939316749572754
quadratic,84,0.06001925468444824
quadratic,84,0.05896401405334473
quadratic,84,0.05962514877319336
quadratic,84,0.05994868278503418
quadratic,84,0.05992603302001953
quadratic,118,0.06000804901123047
quadratic,118,0.05967092514038086
quadratic,118,0.060485124588012695
quadratic,118,0.05953097343444824
quadratic,118,0.059539079666137695
quadratic,167,0.06008601188659668
quadratic,167,0.06144595146179199
quadratic,167,0.0644540786743164
quadratic,167,0.06560897827148438
quadratic,167,0.06444382667541504
quadratic,235,0.06540799140930176
quadratic,235,0.06258201599121094
quadratic,235,0.06344914436340332
quadratic,235,0.06285619735717773
quadratic,235,0.06407880783081055
quadratic,332,0.06609416007995605
quadratic,332,0.06642365455627441
quadratic,332,0.06669306755065918
quadratic,332,0.06775808334350586
quadratic,332,0.06723499298095703
quadratic,468,0.07811784744262695
quadratic,468,0.06545782089233398
quadratic,468,0.06369781494140625
quadratic,468,0.06497883796691895
quadratic,468,0.06426405906677246
quadratic,660,0.07854294776916504
quadratic,660,0.08011293411254883
quadratic,660,0.07908511161804199
quadratic,660,0.08036684989929199
quadratic,660,0.07895398139953613
quadratic,931,0.08066606521606445
quadratic,931,0.08001422882080078
quadratic,931,0.08008813858032227
quadratic,931,0.08163619041442871
quadratic,931,0.09357905387878418
quadratic,1313,0.08360695838928223
quadratic,1313,0.08360910415649414
quadratic,1313,0.08202600479125977
quadratic,1313,0.09269309043884277
quadratic,1313,0.08839106559753418
quadratic,1852,0.09034395217895508
quadratic,1852,0.0878150463104248
quadratic,1852,0.08523774147033691
quadratic,1852,0.08511114120483398
quadratic,1852,0.08513402938842773
quadratic,2611,0.08876585960388184
quadratic,2611,0.0888679027557373
quadratic,2611,0.08934307098388672
quadratic,2611,0.0881338119506836
quadratic,2611,0.08754897117614746
quadratic,3682,0.0810551643371582
quadratic,3682,0.08149385452270508
quadratic,3682,0.08228898048400879
quadratic,3682,0.08275008201599121
quadratic,3682,0.08169674873352051
quadratic,5192,0.08699584007263184
quadratic,5192,0.08623909950256348
quadratic,5192,0.09032511711120605
quadratic,5192,0.0903160572052002
quadratic,5192,0.09780097007751465
quadratic,7321,0.10626101493835449
quadratic,7321,0.101959228515625
quadratic,7321,0.10122013092041016
quadratic,7321,0.1035771369934082
quadratic,7321,0.10075783729553223
quadratic,10323,0.11717820167541504
quadratic,10323,0.11438107490539551
quadratic,10323,0.12030196189880371
quadratic,10323,0.11786389350891113
quadratic,10323,0.1182870864868164
quadratic,14556,0.16044116020202637
quadratic,14556,0.160872220993042
quadratic,14556,0.1673591136932373
quadratic,14556,0.15671086311340332
quadratic,14556,0.16086983680725098
quadratic,20525,0.21280193328857422
quadratic,20525,0.21587204933166504
quadratic,20525,0.20300984382629395
