algorithm,n,time
four-quartic,30,0.06344985961914062
four-quartic,30,0.06129789352416992
four-quartic,30,0.059751033782958984
four-quartic,30,0.06038689613342285
four-quartic,30,0.05875134468078613
four-quartic,42,0.06323814392089844
four-quartic,42,0.0727841854095459
four-quartic,42,0.07299590110778809
four-quartic,42,0.07521605491638184
four-quartic,42,0.07682418823242188
four-quartic,59,0.0771489143371582
four-quartic,59,0.07432818412780762
four-quartic,59,0.07386493682861328
four-quartic,59,0.07547330856323242
four-quartic,59,0.07539701461791992
four-quartic,84,0.06715703010559082
four-quartic,84,0.06749987602233887
four-quartic,84,0.06555914878845215
four-quartic,84,0.0663149356842041
four-quartic,84,0.06949806213378906
four-quartic,118,0.06638121604919434
four-quartic,118,0.06749701499938965
four-quartic,118,0.06486892700195312
four-quartic,118,0.06666803359985352
four-quartic,118,0.0681920051574707
four-quartic,167,0.07854199409484863
four-quartic,167,0.07767009735107422
four-quartic,167,0.07520174980163574
four-quartic,167,0.07482504844665527
four-quartic,167,0.0752401351928711
four-quartic,235,0.10201120376586914
four-quartic,235,0.10015583038330078
four-quartic,235,0.09938979148864746
four-quartic,235,0.1065511703491211
four-quartic,235,0.10188603401184082
four-quartic,332,0.18059492111206055
four-quartic,332,0.18091392517089844
four-quartic,332,0.18396520614624023
four-quartic,332,0.18162107467651367
four-quartic,332,0.17968201637268066
four-quartic,468,0.5002238750457764
four-quartic,468,0.4864480495452881
four-quartic,468,0.4878089427947998
four-quartic,468,0.49656200408935547
four-quartic,468,0.4938318729400635
four-quartic,660,1.768723964691162
four-quartic,660,1.7621240615844727
four-quartic,660,1.7107410430908203
four-quartic,660,1.7387011051177979
four-quartic,660,1.7597119808197021
four-quartic,931,6.529922008514404
four-quartic,931,6.663823843002319
four-quartic,931,6.506098985671997
four-quartic,931,6.65742826461792
four-quartic,931,6.659533977508545
four-quartic,1313,25.31238603591919
four-quartic,1313,25.35052180290222
four-quartic,1313,25.280247926712036
four-quartic,1313,25.341922998428345
four-quartic,1313,25.44464087486267
four-cubic,30,0.06196999549865723
four-cubic,30,0.06075906753540039
four-cubic,30,0.05930900573730469
four-cubic,30,0.05856490135192871
four-cubic,30,0.06025123596191406
four-cubic,42,0.0590517520904541
four-cubic,42,0.05875205993652344
four-cubic,42,0.059587955474853516
four-cubic,42,0.05977201461791992
four-cubic,42,0.06058216094970703
four-cubic,59,0.06021904945373535
four-cubic,59,0.06017303466796875
four-cubic,59,0.06128215789794922
four-cubic,59,0.06102418899536133
four-cubic,59,0.06026411056518555
