algorithm,n,time
three-cubic,30,0.06751799583435059
three-cubic,30,0.06091713905334473
three-cubic,30,0.06081795692443848
three-cubic,30,0.059683799743652344
three-cubic,30,0.058599233627319336
three-cubic,42,0.05888485908508301
three-cubic,42,0.05914187431335449
three-cubic,42,0.0614771842956543
three-cubic,42,0.05932474136352539
three-cubic,42,0.05970001220703125
three-cubic,59,0.06161808967590332
three-cubic,59,0.05791115760803223
three-cubic,59,0.06063222885131836
three-cubic,59,0.05882382392883301
three-cubic,59,0.0602419376373291
three-cubic,84,0.06217193603515625
three-cubic,84,0.0598139762878418
three-cubic,84,0.06083106994628906
three-cubic,84,0.061614990234375
three-cubic,84,0.05955815315246582
three-cubic,118,0.06991791725158691
three-cubic,118,0.07118010520935059
three-cubic,118,0.06160783767700195
three-cubic,118,0.0747978687286377
three-cubic,118,0.07283186912536621
three-cubic,167,0.07474994659423828
three-cubic,167,0.06383895874023438
three-cubic,167,0.07538199424743652
three-cubic,167,0.07685399055480957
three-cubic,167,0.07252001762390137
three-cubic,235,0.07771110534667969
three-cubic,235,0.06503820419311523
three-cubic,235,0.06416511535644531
three-cubic,235,0.06607604026794434
three-cubic,235,0.06505489349365234
three-cubic,332,0.0670170783996582
three-cubic,332,0.06713199615478516
three-cubic,332,0.06677412986755371
three-cubic,332,0.06481409072875977
three-cubic,332,0.06665992736816406
three-cubic,468,0.0707249641418457
three-cubic,468,0.07022905349731445
three-cubic,468,0.07069587707519531
three-cubic,468,0.06801795959472656
three-cubic,468,0.06902813911437988
three-cubic,660,0.07850503921508789
three-cubic,660,0.07964301109313965
three-cubic,660,0.08244800567626953
three-cubic,660,0.0780191421508789
three-cubic,660,0.0778341293334961
three-cubic,931,0.09870791435241699
three-cubic,931,0.0984199047088623
three-cubic,931,0.1000051498413086
three-cubic,931,0.09827876091003418
three-cubic,931,0.0986940860748291
three-cubic,1313,0.14647412300109863
three-cubic,1313,0.14863204956054688
three-cubic,1313,0.15241193771362305
three-cubic,1313,0.15923285484313965
three-cubic,1313,0.15184688568115234
three-cubic,1852,0.28376007080078125
three-cubic,1852,0.28258395195007324
three-cubic,1852,0.2863481044769287
three-cubic,1852,0.2840840816497803
three-cubic,1852,0.28526806831359863
three-cubic,2611,0.6559321880340576
three-cubic,2611,0.6554501056671143
three-cubic,2611,0.6567270755767822
