algorithm,n,time
three-cubic,30,0.0538942813873291
three-cubic,30,0.05376005172729492
three-cubic,30,0.05274391174316406
three-cubic,30,0.0541081428527832
three-cubic,30,0.054334163665771484
three-cubic,42,0.05367016792297363
three-cubic,42,0.05225205421447754
three-cubic,42,0.05187273025512695
three-cubic,42,0.053468942642211914
three-cubic,42,0.055336952209472656
three-cubic,59,0.05411195755004883
three-cubic,59,0.053795814514160156
three-cubic,59,0.053675174713134766
three-cubic,59,0.05269622802734375
three-cubic,59,0.054212093353271484
three-cubic,84,0.054364919662475586
three-cubic,84,0.05317187309265137
three-cubic,84,0.054543256759643555
three-cubic,84,0.05562019348144531
three-cubic,84,0.0550839900970459
three-cubic,118,0.06880998611450195
three-cubic,118,0.055459022521972656
three-cubic,118,0.06903910636901855
three-cubic,118,0.05575704574584961
three-cubic,118,0.06787776947021484
three-cubic,167,0.06968498229980469
three-cubic,167,0.06908512115478516
three-cubic,167,0.06995916366577148
three-cubic,167,0.05649876594543457
three-cubic,167,0.06811404228210449
three-cubic,235,0.058400869369506836
three-cubic,235,0.060999155044555664
three-cubic,235,0.061798095703125
three-cubic,235,0.05977129936218262
three-cubic,235,0.060003042221069336
three-cubic,332,0.06077098846435547
three-cubic,332,0.06447792053222656
three-cubic,332,0.09869170188903809
three-cubic,332,0.060337066650390625
three-cubic,332,0.05734896659851074
three-cubic,468,0.06479001045227051
three-cubic,468,0.06352496147155762
three-cubic,468,0.06781172752380371
three-cubic,468,0.07673430442810059
three-cubic,468,0.06530308723449707
three-cubic,660,0.07056903839111328
three-cubic,660,0.07754087448120117
three-cubic,660,0.0765221118927002
three-cubic,660,0.07287716865539551
three-cubic,660,0.07390403747558594
three-cubic,931,0.0928659439086914
three-cubic,931,0.09258413314819336
three-cubic,931,0.08815288543701172
three-cubic,931,0.09105420112609863
three-cubic,931,0.09271597862243652
three-cubic,1313,0.14121723175048828
three-cubic,1313,0.1410989761352539
three-cubic,1313,0.1423189640045166
three-cubic,1313,0.14012479782104492
three-cubic,1313,0.13960766792297363
three-cubic,1852,0.27230405807495117
three-cubic,1852,0.2758982181549072
three-cubic,1852,0.2746908664703369
three-cubic,1852,0.2799210548400879
three-cubic,1852,0.2751598358154297
three-cubic,2611,0.643610954284668
three-cubic,2611,0.6424047946929932
three-cubic,2611,0.6418149471282959
three-cubic,2611,0.6426169872283936
three-cubic,2611,0.6376559734344482
three-cubic,3682,1.6401290893554688
three-cubic,3682,1.6435680389404297
three-cubic,3682,1.6466491222381592
three-cubic,3682,1.641526699066162
three-cubic,3682,1.6430699825286865
three-cubic,5192,4.432764053344727
three-cubic,5192,4.4330151081085205
three-cubic,5192,4.424707889556885
three-cubic,5192,4.423115015029907
three-cubic,5192,4.4270501136779785
three-cubic,7321,12.15216612815857
three-cubic,7321,12.220282077789307
three-cubic,7321,12.138006925582886
three-cubic,7321,12.129612922668457
three-cubic,7321,12.16480302810669
three-quadratic,30,0.05101799964904785
three-quadratic,30,0.05030393600463867
three-quadratic,30,0.051737070083618164
three-quadratic,30,0.054395198822021484
three-quadratic,30,0.051422834396362305
three-quadratic,42,0.05247306823730469
three-quadratic,42,0.051187992095947266
three-quadratic,42,0.0509798526763916
three-quadratic,42,0.04983925819396973
three-quadratic,42,0.04964303970336914
three-quadratic,59,0.050376176834106445
three-quadratic,59,0.05167889595031738
three-quadratic,59,0.05206894874572754
three-quadratic,59,0.05194497108459473
three-quadratic,59,0.05265522003173828
three-quadratic,84,0.05219101905822754
three-quadratic,84,0.05203890800476074
three-quadratic,84,0.0530240535736084
three-quadratic,84,0.052648067474365234
three-quadratic,84,0.0530848503112793
three-quadratic,118,0.053050994873046875
three-quadratic,118,0.05307602882385254
three-quadratic,118,0.05370974540710449
three-quadratic,118,0.0529632568359375
three-quadratic,118,0.053147077560424805
three-quadratic,167,0.05357623100280762
three-quadratic,167,0.05320310592651367
three-quadratic,167,0.05270791053771973
three-quadratic,167,0.05329298973083496
three-quadratic,167,0.05208396911621094
three-quadratic,235,0.054245948791503906
